customer_no,uvo,provider,additional

24324,70856603,Vodafone,

49618,60857292,Vodafone,

34992,2338528,Vodafone,

101157,P692509049,1&1,

101119,4911281,Unitymedia,

49618,13201345,O2,

101214,P697159675,1&1,
