store_id,Date and Time,totalamount,totalorder,totalqty
24537,2021-02-18,25.9,1,1
24622,2021-02-18,14.9,1,1
28918,2021-02-19,10.9,1,1
29907,2021-02-19,32.9,1,1
28918,2021-01-18,14.9,1,1
31941,2021-01-18,27.9,1,1
27993,2021-01-18,199.9,1,1
28919,2021-01-18,162.8,2,2
29907,2021-01-18,28.9,1,1
24136,2021-01-18,10.9,1,1
29581,2021-01-19,140.8,2,2
27993,2021-01-19,16.9,1,1
27584,2021-01-20,70.8,1,2
31954,2021-01-20,20.9,1,1
29581,2021-01-21,663.8,1,2
29906,2021-01-21,19.9,1,1
24209,2021-01-21,13.9,1,1
31871,2021-01-22,19.9,1,1
31913,2021-01-22,96.6,3,4
12855,2020-12-22,84.69999999999997,2,3
29581,2020-12-22,43.9,1,1
29910,2020-12-22,48.9,1,1
31941,2020-12-23,46.8,2,2
29581,2021-03-01,45.8,2,2
31941,2021-03-01,35.9,1,1
26484,2021-03-01,11.9,1,1
26574,2021-03-02,17.9,1,1
31946,2021-03-02,39.8,1,2
28918,2021-03-03,9.9,1,1
29581,2021-03-03,260.9,1,1
26574,2021-03-03,17.9,1,1
31946,2021-03-03,24.9,1,1
31871,2021-03-03,25.8,1,2
27584,2021-03-03,26.9,1,1
28919,2021-03-03,35.9,1,1
28514,2021-03-03,35.8,1,2
29906,2021-03-03,24.9,1,1
24209,2021-03-04,47.7,3,3
24516,2021-03-04,43.9,1,1
29910,2021-03-04,25.9,1,1
29906,2021-03-04,26.9,1,1
24136,2021-03-04,184.9,1,1
29910,2021-03-05,291.7999999999999,2,2
24209,2021-03-05,17.9,1,1
31946,2021-03-05,21.9,1,1
12285,2021-03-05,35.8,2,2
29906,2021-03-05,22.9,1,1
24031,2021-03-08,16.9,1,1
24622,2021-03-08,19.9,1,1
26574,2021-03-08,24.9,1,1
25770,2021-03-09,68.6,3,4
26574,2021-03-09,22.9,1,1
31946,2021-03-09,16.9,1,1
29581,2021-03-10,69.8,1,2
29906,2021-03-10,26.9,1,1
31875,2021-03-10,18.9,1,1
29910,2021-03-10,16.9,1,1
26484,2021-03-10,17.9,1,1
24580,2021-03-10,43.7,2,3
12855,2021-03-10,22.9,1,1
24209,2021-03-11,14.9,1,1
25564,2021-03-11,11.9,1,1
28918,2021-03-11,19.9,1,1
12285,2021-03-12,24.9,1,1
24209,2021-03-12,36.8,2,2
24136,2021-03-12,48.9,1,1
31941,2021-03-12,84.8,1,2
27584,2021-03-12,26.9,1,1
31871,2021-03-12,13.9,1,1
31941,2021-03-13,14.9,1,1
27584,2021-03-13,31.9,1,1
29910,2021-03-13,193.9,1,1
24097,2021-03-13,22.9,1,1
31871,2020-11-30,39.7,2,3
24622,2020-11-30,9.9,1,1
24529,2020-11-30,60.9,1,1
25564,2020-11-30,22.9,1,1
28514,2020-11-30,28.9,1,1
26574,2020-11-30,12.9,1,1
24136,2020-11-30,16.9,1,1
12285,2020-11-30,64.9,1,1
29581,2020-11-30,22.9,1,1
24580,2020-12-01,34.8,1,2
29581,2020-12-01,23.9,1,1
28918,2020-12-01,247.8,2,2
31937,2020-12-01,18.9,1,1
25564,2020-12-01,15.9,1,1
12930,2020-12-01,65.9,1,1
12285,2020-12-01,33.8,2,2
12855,2020-12-01,16.9,1,1
29907,2020-12-02,33.9,1,1
31937,2020-12-02,677.5999999999998,2,4
29910,2020-12-02,43.8,2,2
31875,2020-12-02,42.8,1,2
24580,2020-12-02,14.9,1,1
26574,2020-12-02,28.9,1,1
24580,2020-12-03,17.9,1,1
31937,2020-12-03,18.9,1,1
24537,2020-12-03,36.8,2,2
28918,2020-12-03,16.9,1,1
29149,2020-12-03,27.8,1,2
24050,2020-12-03,18.9,1,1
26574,2020-12-03,40.8,1,2
31871,2020-12-03,20.9,1,1
31941,2020-12-03,226.9,1,1
25564,2020-12-03,16.9,1,1
28730,2020-12-04,16.9,1,1
24136,2020-12-04,48.9,1,1
24050,2020-12-04,15.9,1,1
27584,2020-12-04,23.9,1,1
31937,2020-12-04,18.9,1,1
24622,2020-12-05,12.9,1,1
12285,2020-12-05,155.9,1,1
24136,2020-12-05,172.9,1,1
