date,rate
"Nov 27, 2020",0.272251
"Nov 26, 2020",0.272246
"Nov 25, 2020",0.272252
"Nov 24, 2020",0.272246
"Nov 23, 2020",0.272258
"Nov 22, 2020",0.27225
"Nov 21, 2020",0.27225
